filename,scene_group,split,is_replacement,box_count,mean_aspect_ratio,orientation,action,reason
waterlogging_waterloggingt-130-_jpg.rf.f23a8e7d1db74fed9e809c0f502cdee0.jpg,waterloggingt-130-_jpg,val,False,6,0.583,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.58); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-31-_jpg.rf.3856f69d93858c8e57d49bfead20d9d9.jpg,waterloggingt-31-_jpg,val,True,2,2.136,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
waterlogging_waterloggingt-103-_jpg.rf.10009ec111cdef89d0e5a8fae80e493c.jpg,waterloggingt-103-_jpg,test,False,7,1.114,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.11, 3 tall vs 2 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-103-_jpg.rf.7a139c90e83d52a9682e34f6dd618690.jpg,waterloggingt-103-_jpg,test,False,6,1.509,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 1.51); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-103-_jpg.rf.de47130eec1ca2bcbc2f43090193e729.jpg,waterloggingt-103-_jpg,test,False,5,1.973,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 1.97); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-104-_jpg.rf.8d4041dce7fe57557259b2e0286ef361.jpg,waterloggingt-104-_jpg,test,False,3,0.311,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.31); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-104-_jpg.rf.e4c15f449ef45024a3943a6acf09bab0.jpg,waterloggingt-104-_jpg,test,False,5,0.653,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.65, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-104-_jpg.rf.f2605b716c7e33df7ed2ead8ad891e0f.jpg,waterloggingt-104-_jpg,test,False,2,1.343,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.34, 1 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-126-_jpg.rf.208aedeeba1a9ae54e0fea4926806386.jpg,waterloggingt-126-_jpg,test,False,2,0.761,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.76, 0 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-126-_jpg.rf.7fb34317e3d3f434615e307ac961cd89.jpg,waterloggingt-126-_jpg,test,False,4,1.298,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.30, 3 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-126-_jpg.rf.adc92026324c92e8065ad301202dfa9a.jpg,waterloggingt-126-_jpg,test,False,3,1.001,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.00, 2 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-145-_jpg.rf.c3dabb8c32e8535b5bec3381d1f18c86.jpg,waterloggingt-145-_jpg,test,True,2,2.462,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
